= Logs of language model for Belarusian (be) =

- Generated by BuildLangModel.py
- Started: 2023-07-08 18:51:50.136221
- Maximum depth: 4
- Max number of characters: 4000000

== Parsed pages ==

Лацінская мова (revision 4506723; CACHED)
Эдвард Кэрал Стоўн (revision 4466348; CACHED)
Мікалай Анімеле (revision 3958532; CACHED)
Сабіна Бергман-Поль (revision 3657837; CACHED)
Абыла (revision 4003502; CACHED)
Spacewar! (revision 4278273; CACHED)
Тафаларская мова (revision 4071156; CACHED)
Бараны (фільм, 2015) (revision 3959965; CACHED)
Ларэнца Тамбурыні (revision 3865631; CACHED)
Аперацыя PBSUCCESS (revision 4519588; CACHED)
Чэмпіянат Польшчы па баскетболе 2005/2006 (revision 4166910; CACHED)
Філіпа Англійская (revision 4501073; CACHED)
IC 509 (revision 4401790; CACHED)
Краснакамскі раён (Башкартастан) (revision 4085956; CACHED)
Підгайці (revision 4353938; CACHED)
Першы трыумвірат (revision 4424408; CACHED)
305-мм гаўбіца ўзору 1915 года (revision 4357434; CACHED)
Польшча (revision 4487910; CACHED)
Кізляр (revision 4432623; CACHED)
Барбара Альберт (revision 3917725; CACHED)
59-я цырымонія «Грэмі» (revision 4005680; CACHED)
Дабрыца (прыток Усы) (revision 4422584; CACHED)
Honorary citizen of Ulcinj (revision 4042038; CACHED)
ХК Гомель (revision 4376895; CACHED)
Дэрыл Мёрфі (revision 4296362; CACHED)
Воўна вікуньі (revision 4500204; CACHED)
Мурсійскі ўніверсітэт (revision 4067449; CACHED)
Барсукі (Узмёнскі сельсавет) (revision 4312671; CACHED)
Маўзалей Георгія Дзімітрава (revision 1824964; CACHED)
Беркшыр (revision 3859524; CACHED)
Паповычы (Мастыскі раён) (revision 3535946; CACHED)
John Hume, 9th of Ninewells (revision 3701324; CACHED)
Арганоіды (revision 4410344; CACHED)
Кембрыджскі ўніверсітэт (revision 4525171; CACHED)
Дамінат (revision 4422786; CACHED)
Элеанора Рузвельт (revision 4184757; CACHED)
Ханна Альстром (revision 4402677; CACHED)
Педра IV (revision 4444368; CACHED)
Ханна Мантана: Кіно (revision 4403199; CACHED)
Алег Генадзьевіч Сянцоў (revision 4276927; CACHED)
Ахандрыт (revision 4411333; CACHED)
Шарлота Кембрыджская (revision 4503470; CACHED)
Бальшавіцкі сельсавет (revision 4474334; CACHED)
Картаграфія Венеры (revision 4352071; CACHED)
Politics (revision 4506643; CACHED)
Крамбамбуля (гурт) (revision 4525223; CACHED)
Максімін Даза (revision 2452570; CACHED)
NGC 5370 (revision 3883661; CACHED)
Руская мова (revision 4449510; CACHED)
1997 (revision 4497115; CACHED)
Нью-Ёрк (Данецкая вобласць) (revision 4056169; CACHED)
BAFTA (revision 4272529; CACHED)
Жарылгап батыр (revision 4050214; CACHED)
Ясенка (revision 4358046; CACHED)
Карашылік (Зерэндзінскі раён) (revision 4051526; CACHED)
NGC 6353 (revision 3297430; CACHED)
.ac (revision 4042289; CACHED)
Уладзімір Раманавіч Жыгуноў (revision 4462464; CACHED)
Марыя II (каралева Англіі) (revision 4436852; CACHED)
Фаціх Акін (revision 4137347; CACHED)
Боб Бар (revision 4486584; CACHED)
Дэйв Мюрэй (revision 4013103; CACHED)
Іосіф Ісакавіч Протас (revision 4044006; CACHED)
Fearless (песня Тэйлар Свіфт) (revision 4397009; CACHED)
Зыгмунт Урублеўскі (revision 4427145; CACHED)
Кірыліца (revision 4505491; CACHED)
Інгігерда (revision 4404771; CACHED)
Whereis (revision 4484178; CACHED)
Уладзімірскі раён (revision 4524167; CACHED)
Задуброўе (Бярэзінскі раён) (revision 4426068; CACHED)
Гай Юлій Авіт (revision 4184537; CACHED)
Сімулятар спатканняў (revision 4287146; CACHED)
Аранская дынастыя (revision 4410301; CACHED)
Еўрапейская кінапрэмія 2023 (revision 4502857; CACHED)
Хім'ярыцкая мова (revision 4373216; CACHED)
Брусэнкы (revision 3444185; CACHED)
Ота Месмер (revision 4197045; CACHED)
Кінафестываль у Сан-Паўлу 1989 (revision 3951835; CACHED)
Дэкларацыя аб дзяржаўным суверэнітэце Беларускай ССР (revision 4424918; CACHED)
Folklore (revision 4221708; CACHED)
Тайтурка (revision 3572870; CACHED)
NGC 2177 (revision 3880874; CACHED)
Булён (revision 4140949; CACHED)
Феадосій II (revision 4463350; CACHED)
Партыя двухвостага сабакі (revision 4186764; CACHED)
Наталля Міхайлаўна Сакалова (revision 3710038; CACHED)
1946 (revision 4499998; CACHED)
Грэчаская мова (revision 4523283; CACHED)
Адмірал (revision 4441553; CACHED)
Каміла (каралева-кансорт Вялікабрытаніі) (revision 4205675; CACHED)
Эма Суарэс (revision 4304008; CACHED)
Begin Again (песня Тэйлар Свіфт) (revision 4394114; CACHED)
Флавій Аніцый Гермагеніян Алібрый (revision 4379068; CACHED)
1998 (revision 4489588; CACHED)
Рафаіл Львовіч Белянкоў (revision 4448975; CACHED)
Германік (revision 4503424; CACHED)
Маці (фільм, 1990) (revision 4130407; CACHED)
Віу (revision 4419323; CACHED)
Сонечнае зацьменне 21 студзеня 1852 года (revision 3387152; CACHED)
Plant (revision 4403186; CACHED)
Емяльянава (Казулінскае сельскае паселішча) (revision 3810247; CACHED)
Насельніцтва Фінляндыі (revision 4383706; CACHED)
Спіс памерлых у 2022 годзе (revision 4526334; CACHED)
Мюоннае нейтрына (revision 4019479; CACHED)
Al McCoy (revision 4291683; CACHED)
Куклічы (Чачэрскі раён) (revision 4431988; CACHED)
NGC 7368 (revision 3299963; CACHED)
(63) Аўсонія (revision 4392586; CACHED)
(11) Парфенопа (revision 4392527; CACHED)
Цяпалава (revision 4180524; CACHED)
Нго Дзінь З’ем (revision 3932463; CACHED)
Павел Фабій Максім (revision 4448434; CACHED)
Кубак свету па хакеі з шайбай (revision 4036846; CACHED)
Alphabet (revision 4396474; CACHED)
Перыкард (revision 4212723; CACHED)
Virus (revision 4332222; CACHED)
Ісландская мова (revision 4405088; CACHED)
Edmund Francis Stafford (revision 4449890; CACHED)
Барталамеа Мантанья (revision 4187921; CACHED)
Кірыла Транквіліён-Стаўравецкі (revision 4432762; CACHED)
Новы Свет (фільм, 2005) (revision 4501136; CACHED)
Спіс зорак сузор’я Рыбаў (revision 4457974; CACHED)
Аляксандраўшчына (revision 4408360; CACHED)
Карл II Сцюарт (revision 4500483; CACHED)
(13) Эгерыя (revision 4392532; CACHED)
Skrillex (revision 4350610; CACHED)
Пажар у Клубе НКДБ (1946) (revision 4443014; CACHED)
Афрыканскі суд па правах чалавека і народаў (revision 4352097; CACHED)
Чэмпіянат свету па хакеі з шайбай, 1982 (revision 4155961; CACHED)
Венера (планета) (revision 4510394; CACHED)
Аднойчы ў казцы (revision 4515416; CACHED)
Юнацкая зборная Ірландыі па футболе (revision 4220741; CACHED)
Аляксей Барысавіч Куракін (revision 4408393; CACHED)
Аўтар (revision 4492423; CACHED)
Аляксандр Анатолевіч Лукашык (revision 3785433; CACHED)
Марк Анатолевіч Захараў (revision 4129292; CACHED)
М'янма (revision 4439802; CACHED)
Спіс лаўрэатаў Нобелеўскай прэміі па літаратуры (revision 4282169; CACHED)
(75) Эўрыдыка (revision 4170941; CACHED)
Рамантычная камедыя (revision 3705849; CACHED)
Місурыйскі ўніверсітэт (revision 4266263; CACHED)
Ip Man (revision 4104988; CACHED)
Сезон 2019 ЖФК Надзея-СДЮШАР-7 (revision 4493096; CACHED)
Сулу (мора) (revision 4210201; CACHED)
Ліцвіны (revision 4512950; CACHED)
Нацыянальная бібліятэка Польшчы (revision 3935496; CACHED)
Нью-Хэйвен (Канектыкут) (revision 4386770; CACHED)
Thomas Temple (revision 4327629; CACHED)
Арыэль Шарон (revision 4516003; CACHED)
Ермякееўскі раён (revision 3605467; CACHED)
Білетная каса (revision 4411433; CACHED)
Фрэзанара (revision 4463922; CACHED)
Вакал (revision 4292167; CACHED)
1951 (revision 4526826; CACHED)
Кёльн (revision 4432571; CACHED)
Палімеры (revision 4490767; CACHED)
Шлюб прынца Уільяма і Кейт Мідлтан (revision 4467180; CACHED)
Ліцыній (revision 4435156; CACHED)
.ci (revision 3479809; CACHED)
Нацыянальны алімпійскі камітэт Італіі (revision 4371384; CACHED)
Антанін Пій (revision 4502164; CACHED)
Папова (Сафонаўскі раён) (revision 3810296; CACHED)
Еўрапейская кінапрэмія за еўрапейскае адкрыццё (revision 4304137; CACHED)
Алісэ Брага (revision 4408525; CACHED)
Юрый Мечыслававіч Астравух (revision 4357003; CACHED)
Стакгольмскі ўніверсітэт (revision 4383532; CACHED)
2004 (revision 4489584; CACHED)
Дзідзій Юліян (revision 4423910; CACHED)
Trebouxiales (revision 3701047; CACHED)
Ісландскі конь (revision 3891847; CACHED)
Ганорый (revision 4419946; CACHED)
Аляксей Харытановіч (revision 4058140; CACHED)
Таршэр (revision 4460821; CACHED)
Люксембургскі палац (revision 4286629; CACHED)
Чэрлак (Омская вобласць) (revision 4215450; CACHED)
Мусульмане (revision 4385087; CACHED)
ФК Дэры Сіці (revision 4325971; CACHED)
Лана Дэль Рэй (revision 4473000; CACHED)
Стодзённае наступленне (revision 4458670; CACHED)
Уолтэр Квінцін Грышам (revision 3401885; CACHED)
Алімпійскі ордэн (revision 4045104; CACHED)
Англа-Егіпецкі Судан (revision 3947058; CACHED)
We Are Never Ever Getting Back Together (песня Тэйлар Свіфт) (revision 4403283; CACHED)
Мазендэран (revision 4435380; CACHED)
ФК Уіган Атлетык (revision 4463179; CACHED)
Mine (песня Тэйлар Свіфт) (revision 4513132; CACHED)
Герундый (revision 3475565; CACHED)
Нямецкая марка (revision 4056197; CACHED)
Michael Peppiatt (revision 4419185; CACHED)
Ібрагім Ізат ад-Дуры (revision 4484401; CACHED)
Хайта (revision 4489378; CACHED)
Аўл Вітэлій (revision 4348192; CACHED)
Рэгбі-7 на Алімпійскіх гульнях (revision 4149135; CACHED)
Йыгева (воласць) (revision 3498363; CACHED)
Кіран Кларк (revision 4159277; CACHED)
Красыліўскэ (revision 3437655; CACHED)
Джон Эверэт Міле (revision 4423278; CACHED)
Эйдэн Мак-Гідзі (revision 4162366; CACHED)
Дымарка (прыток Закованкі) (revision 4478521; CACHED)
Linguistics (revision 4154538; CACHED)
Шэй Гівен (revision 4170728; CACHED)
Дыяклетыян (revision 3845421; CACHED)
Theophilius Benjamin Chandler (revision 4508729; CACHED)
Манрэаль Канадыенс (revision 4436049; CACHED)
Вігі (revision 3651038; CACHED)
Кубак Канады (хакей) (revision 4016714; CACHED)
Тып 88 (revision 4402474; CACHED)
Жан Лерэ (revision 4425480; CACHED)
Эксетэр (revision 4467804; CACHED)
A&M Octone Records (revision 4393948; CACHED)
Свабода (газета, 1902) (revision 3648820; CACHED)
Today Was a Fairytale (песня Тэйлар Свіфт) (revision 4403190; CACHED)
Ганна Янкута (revision 4490565; CACHED)
Keane (revision 4134011; CACHED)
Таймс-сквер (revision 4460534; CACHED)
Royal Crown Derby (revision 4403040; CACHED)
Чарнаберка (revision 4465911; CACHED)
Галезэ (revision 4419651; CACHED)
Антыпатр I (revision 4410014; CACHED)
Вуліца Гарбатава (Мінск) (revision 4395357; CACHED)
Чжаа Сіньтун (revision 4466106; CACHED)
Урус-Мартанаўскі раён (revision 4504020; CACHED)
Chicago Stadium (revision 4345603; CACHED)
Чаравачыцы (прыпыначны пункт) (revision 4465844; CACHED)
Наліснікі (revision 3553062; CACHED)
Атон III (revision 4411242; CACHED)
Бельск Падляскі (гміна) (revision 4413794; CACHED)
Роберт Швентке (revision 4302532; CACHED)
Зялёны Гай (Гомельскі раён) (revision 4239963; CACHED)
Agincourt (revision 4416018; CACHED)
Кахінур (revision 4459136; CACHED)
Эміліян (консул 214 года) (revision 4411525; CACHED)
Гіпертанія (revision 3947965; CACHED)
Кевін Дойл (revision 4345797; CACHED)
1987 (revision 4500264; CACHED)
Віківіды (revision 4276249; CACHED)
Музыкант (revision 4438175; CACHED)
Mrk 590 (revision 3882518; CACHED)
Нью-Ёрк Нікс (revision 4441965; CACHED)
Каліфарнійскі тэхналагічны інстытут (revision 4428028; CACHED)
Polydor Records (revision 4409112; CACHED)
Сегед (revision 4452800; CACHED)
Дунганская мова (revision 4424752; CACHED)
Ажусіеніс (Ігналінскі раён) (revision 4257998; CACHED)
James R. Webb (revision 3706800; CACHED)
transistor (revision 4199356; CACHED)
Нумідзія (revision 4441934; CACHED)
H. B. Warner (revision 4362917; CACHED)
Каліфарнійская залатая ліхаманка (revision 1704287; CACHED)
Пекла (revision 4386262; CACHED)
J-Dog (revision 4513108; CACHED)
Бярнова (revision 4415434; CACHED)
Choanoflagellate (revision 4394218; CACHED)
Дывізіён I чэмпіянату свету па хакеі з шайбай 2006 (revision 4162584; CACHED)
Вашынгтонскі ўніверсітэт (revision 4416859; CACHED)
Apomyelois bistriatella (revision 4394022; CACHED)
Вэлыка Кастромка (revision 3536584; CACHED)
Джо Ганс (revision 3736653; CACHED)
Джэралд Морыс Эдэльмэн (revision 3932092; CACHED)
Вісконсін (revision 4482297; CACHED)
Сатэліт (палітыка) (revision 4451288; CACHED)
Дарагабуж (revision 4357741; CACHED)
Language (revision 4042708; CACHED)
Англія (revision 4409521; CACHED)
(10) Гігея (revision 4481460; CACHED)
Карал Гофмайстэр (revision 4302853; CACHED)
Юрый Уладзіміравіч Семяняка (revision 4468739; CACHED)
NGC 2375 (revision 3902766; CACHED)
Прэзідэнт ЗША (revision 4156043; CACHED)
Belqees (revision 3768309; CACHED)
Вірджынія Вульф (revision 4010373; CACHED)
Фенегра (revision 4463425; CACHED)
Азербайджанская мова (revision 4374281; CACHED)
Рудзевічы (Зэльвенскі раён) (revision 4252025; CACHED)
Тарту (павет) (revision 4460825; CACHED)
Флавій Петроній Максім (revision 4444774; CACHED)
NGC 1245 (revision 3888909; CACHED)
Сегежа (revision 4498848; CACHED)
Факультэт радыёфізікі і камп’ютарных тэхналогій БДУ (revision 4463221; CACHED)
Касана-Спінола (revision 4429492; CACHED)
Мальдывы (revision 4435842; CACHED)
Новая Карма (revision 4239421; CACHED)
Бітва пры Цэры (revision 4046862; CACHED)
Cardigan (песня Тэйлар Свіфт) (revision 3707025; CACHED)
Каліфарнійскі ўніверсітэт (revision 4518066; CACHED)
Канстант II (revision 4428476; CACHED)
Кансісторый (revision 4362261; CACHED)
Крысп (revision 4431656; CACHED)
Аляксандр Ягелончык (revision 4408307; CACHED)
Ярцава-Гур’ева (revision 3964998; CACHED)
Радыё Унэт (revision 4505690; CACHED)
Іаана II (revision 4423113; CACHED)
Эніён (revision 4385564; CACHED)
Разаны (revision 4235374; CACHED)
Цёркс і Кайкас (revision 4465658; CACHED)
Кастанцана (revision 4429539; CACHED)
Хамідыйская разня (revision 4464381; CACHED)
Шчэплоты (revision 3544171; CACHED)
Станцы Рафаэля (revision 4458236; CACHED)
Вустэр (revision 4345064; CACHED)
Грацыян (revision 4270607; CACHED)
Хакей з шайбай (revision 4440853; CACHED)
Еўрапейская кінапрэмія 2017 (revision 4304010; CACHED)
1926 (revision 4518100; CACHED)
Андрэй Андрэевіч Добрыца (revision 4223019; CACHED)
Джон Адамс (revision 4028982; CACHED)
2700 да н.э. (revision 4422638; CACHED)
Фэйкавыя навіны (revision 4099474; CACHED)
Летнія Алімпійскія гульні 1924 (revision 4155972; CACHED)
Нарматыўны кантроль (revision 4228063; CACHED)
NGC 3598 (revision 3891619; CACHED)
Іспанія (revision 4405134; CACHED)
Касіядор (revision 3231837; CACHED)
Сом звычайны (revision 4453782; CACHED)
Еўрапейская кінапрэмія найлепшай еўрапейскай актрысе (revision 4488933; CACHED)
Підвысокэ (Радывыліўскі раён) (revision 3440671; CACHED)
Human (revision 4397168; CACHED)
Генры Нокс (revision 3840048; CACHED)
NGC 260 (revision 4043169; CACHED)
Турызм у Марока (revision 4485241; CACHED)
"In" Jazz for the Culture Set (revision 4510328; CACHED)
Opisthokonta (revision 3942729; CACHED)

== End of Parsed pages ==

- Number of pages processed: 1453
- Number of characters consumed: 4103247

- Wikipedia parsing ended at: 2023-07-08 18:52:01.357342

67 characters appeared 4103247 times.

[ 0] Character 'а' usage: 633393 (15.436384892 %)
[ 1] Character 'н' usage: 272115 (6.631699237 %)
[ 2] Character 'і' usage: 227720 (5.549751209 %)
[ 3] Character 'р' usage: 203697 (4.964288038 %)
[ 4] Character 'с' usage: 179634 (4.377850030 %)
[ 5] Character 'ы' usage: 177725 (4.331325899 %)
[ 6] Character 'к' usage: 157458 (3.837399991 %)
[ 7] Character 'л' usage: 155704 (3.794653356 %)
[ 8] Character 'т' usage: 143495 (3.497108509 %)
[ 9] Character 'е' usage: 142946 (3.483728862 %)
[10] Character 'я' usage: 129480 (3.155549739 %)
[11] Character 'д' usage: 127470 (3.106564143 %)
[12] Character 'о' usage: 122950 (2.996407479 %)
[13] Character 'м' usage: 120276 (2.931239577 %)
[14] Character 'в' usage: 117222 (2.856810716 %)
[15] Character 'п' usage: 110884 (2.702347677 %)
[16] Character 'у' usage: 106597 (2.597869443 %)
[17] Character 'з' usage: 93858 (2.287407997 %)
[18] Character 'ц' usage: 86341 (2.104211616 %)
[19] Character 'ў' usage: 83540 (2.035948604 %)
[20] Character 'г' usage: 81318 (1.981796368 %)
[21] Character 'б' usage: 57170 (1.393286829 %)
[22] Character 'э' usage: 53673 (1.308061640 %)
[23] Character 'й' usage: 48634 (1.185256457 %)
[24] Character 'ч' usage: 47652 (1.161324190 %)
[25] Character 'ь' usage: 43878 (1.069348250 %)
[26] Character 'х' usage: 42159 (1.027454599 %)
[27] Character 'ш' usage: 33349 (0.812746588 %)
[28] Character 'ж' usage: 23403 (0.570353186 %)
[29] Character 'i' usage: 21677 (0.528288938 %)
[30] Character 'ю' usage: 21593 (0.526241779 %)
[31] Character 'e' usage: 21485 (0.523609717 %)
[32] Character 'a' usage: 19886 (0.484640579 %)
[33] Character 'ф' usage: 17432 (0.424834284 %)
[34] Character 'o' usage: 15668 (0.381843940 %)
[35] Character 'r' usage: 15487 (0.377432799 %)
[36] Character 'n' usage: 15161 (0.369487871 %)
[37] Character 's' usage: 14418 (0.351380261 %)
[38] Character 't' usage: 14374 (0.350307939 %)
[39] Character 'ё' usage: 13005 (0.316944118 %)
[40] Character 'l' usage: 10482 (0.255456228 %)
[41] Character 'c' usage: 8447 (0.205861358 %)
[42] Character 'd' usage: 7922 (0.193066613 %)
[43] Character 'm' usage: 6966 (0.169767991 %)
[44] Character 'u' usage: 6890 (0.167915799 %)
[45] Character 'h' usage: 6404 (0.156071521 %)
[46] Character 'p' usage: 5722 (0.139450538 %)
[47] Character 'b' usage: 4899 (0.119393251 %)
[48] Character 'g' usage: 4830 (0.117711656 %)
[49] Character 'и' usage: 4679 (0.114031644 %)
[50] Character 'v' usage: 3845 (0.093706277 %)
[51] Character 'f' usage: 3571 (0.087028639 %)
[52] Character 'y' usage: 3535 (0.086151285 %)
[53] Character 'w' usage: 3124 (0.076134827 %)
[54] Character 'k' usage: 2830 (0.068969770 %)
[55] Character 'x' usage: 2560 (0.062389615 %)
[56] Character 'z' usage: 1099 (0.026783667 %)
[57] Character 'j' usage: 1074 (0.026174393 %)
[58] Character 'q' usage: 246 (0.005995252 %)
[59] Character 'щ' usage: 86 (0.002095901 %)
[60] Character 'ї' usage: 45 (0.001096692 %)
[61] Character 'ъ' usage: 38 (0.000926096 %)
[62] Character 'є' usage: 15 (0.000365564 %)
[63] Character 'ј' usage: 7 (0.000170597 %)
[64] Character 'ґ' usage: 2 (0.000048742 %)
[65] Character 'љ' usage: 1 (0.000024371 %)
[66] Character 'ћ' usage: 1 (0.000024371 %)

Most Frequent characters:
[ 0] Char а: 15.436384892 %
[ 1] Char н: 6.631699237 %
[ 2] Char і: 5.549751209 %
[ 3] Char р: 4.964288038 %
[ 4] Char с: 4.377850030 %
[ 5] Char ы: 4.331325899 %
[ 6] Char к: 3.837399991 %
[ 7] Char л: 3.794653356 %
[ 8] Char т: 3.497108509 %
[ 9] Char е: 3.483728862 %
[10] Char я: 3.155549739 %
[11] Char д: 3.106564143 %
[12] Char о: 2.996407479 %
[13] Char м: 2.931239577 %
[14] Char в: 2.856810716 %
[15] Char п: 2.702347677 %
[16] Char у: 2.597869443 %
[17] Char з: 2.287407997 %
[18] Char ц: 2.104211616 %
[19] Char ў: 2.035948604 %
[20] Char г: 1.981796368 %
[21] Char б: 1.393286829 %
[22] Char э: 1.308061640 %
[23] Char й: 1.185256457 %
[24] Char ч: 1.161324190 %
[25] Char ь: 1.069348250 %
[26] Char х: 1.027454599 %
[27] Char ш: 0.812746588 %
[28] Char ж: 0.570353186 %
[29] Char i: 0.528288938 %
[30] Char ю: 0.526241779 %
[31] Char e: 0.523609717 %
[32] Char a: 0.484640579 %
[33] Char ф: 0.424834284 %
[34] Char o: 0.381843940 %
[35] Char r: 0.377432799 %
[36] Char n: 0.369487871 %
[37] Char s: 0.351380261 %
[38] Char t: 0.350307939 %
[39] Char ё: 0.316944118 %

The first 40 characters have an accumulated ratio of 0.9782318734407166.
The first 6 characters have an accumulated ratio of 0.4129129930516004.
All characters whose order is over 31 have an accumulated ratio of 0.03056871789585175.

1885 sequences found.

First 942 (typical positive ratio): 0.9950044996073815
Next 299 (1241-942): 0.003996107751846334
Rest: 0.000999392640772201

- Processing end: 2023-07-08 18:52:01.370344
